school;pool;pmi;user0;user1;user2;user3;user4;user5;user6
0;389.1261538;940.5;;;;;;;
0;389.1261538;931;;;;;;;
0;391.3661538;817;;;;;;;
0;391.3661538;703;;;;;;;
0;391.3661538;589;;;;;;;
0;391.3661538;475;;;;;;;
0;396.24;460.75;;;;;;;
0;396.24;446.5;;;;;;;
0;396.24;432.25;;;;;;;
0;396.24;418;;;;;;;
0;400.7692308;413.25;;;;;;;
0;400.7692308;408.5;;;;;;;
0;400.7692308;403.75;;;;;;;
0;400.7692308;399;;;;;;;
0;404.5846154;394.25;;;;;;;
0;404.5846154;389.5;;;;;;;
0;404.5846154;384.75;;;;;;;
0;404.5846154;380;;;;;;;
0;406.9230769;380;;;;;;;
0;406.9230769;380;;;;;;;
0;406.9230769;380;;;;;;;
0;406.9230769;380;;;;;;;
