,I_beam [W/m2],I_skydiff [W/m2],I_grounddiff [W/m2],t_amb [C]
230,527.88,129.96,4.5,3.24
231,527.88,129.96,4.5,3.24
232,553.56,172.88,5.37,4.09
233,553.56,172.88,5.37,4.09
234,553.56,172.88,5.37,4.09
235,553.56,172.88,5.37,4.09
236,465.28,214.14,5.36,4.28
237,465.28,214.14,5.36,4.28
238,465.28,214.14,5.36,4.28
239,465.28,214.14,5.36,4.28
240,594.72,156.21,5.47,4.32
241,594.72,156.21,5.47,4.32
242,594.72,156.21,5.47,4.32
243,594.72,156.21,5.47,4.32
244,565.87,112.57,4.57,3.91
245,565.87,112.57,4.57,3.91
246,565.87,112.57,4.57,3.91
247,565.87,112.57,4.57,3.91
248,26.95,96.86,1.46,3.22
249,26.95,96.86,1.46,3.22
250,26.95,96.86,1.46,3.22
251,26.95,96.86,1.46,3.22
252,0.0,27.64,0.42,2.53
253,0.0,27.64,0.42,2.53
254,0.0,27.64,0.42,2.53
255,0.0,27.64,0.42,2.53
256,0.0,0.0,0.0,1.57
257,0.0,0.0,0.0,1.57
258,0.0,0.0,0.0,1.57
259,0.0,0.0,0.0,1.57
260,0.0,0.0,0.0,0.49
261,0.0,0.0,0.0,0.49
262,0.0,0.0,0.0,0.49
263,0.0,0.0,0.0,0.49
264,0.0,0.0,0.0,-0.69
265,0.0,0.0,0.0,-0.69
266,0.0,0.0,0.0,-0.69
267,0.0,0.0,0.0,-0.69
268,0.0,0.0,0.0,-0.95
269,0.0,0.0,0.0,-0.95
270,0.0,0.0,0.0,-0.95
271,0.0,0.0,0.0,-0.95
272,0.0,0.0,0.0,-1.38
273,0.0,0.0,0.0,-1.38
274,0.0,0.0,0.0,-1.38
275,0.0,0.0,0.0,-1.38
276,0.0,0.0,0.0,-2.07
277,0.0,0.0,0.0,-2.07
278,0.0,0.0,0.0,-2.07
279,0.0,0.0,0.0,-2.07
280,0.0,0.0,0.0,-2.48
281,0.0,0.0,0.0,-2.48
282,0.0,0.0,0.0,-2.48
283,0.0,0.0,0.0,-2.48
284,0.0,0.0,0.0,-3.22
285,0.0,0.0,0.0,-3.22
286,0.0,0.0,0.0,-3.22
287,0.0,0.0,0.0,-3.22
288,0.0,0.0,0.0,-3.95
289,0.0,0.0,0.0,-3.95
290,0.0,0.0,0.0,-3.95
291,0.0,0.0,0.0,-3.95
292,0.0,0.0,0.0,-4.21
293,0.0,0.0,0.0,-4.21
294,0.0,0.0,0.0,-4.21
295,0.0,0.0,0.0,-4.21
296,0.0,0.0,0.0,-4.39
297,0.0,0.0,0.0,-4.39
298,0.0,0.0,0.0,-4.39
299,0.0,0.0,0.0,-4.39
300,0.0,0.0,0.0,-4.45
301,0.0,0.0,0.0,-4.45
302,0.0,0.0,0.0,-4.45
303,0.0,0.0,0.0,-4.45
304,0.0,0.0,0.0,-4.42
305,0.0,0.0,0.0,-4.42
306,0.0,0.0,0.0,-4.42
307,0.0,0.0,0.0,-4.42
308,0.0,0.0,0.0,-4.26
309,0.0,0.0,0.0,-4.26
310,0.0,0.0,0.0,-4.26
311,0.0,0.0,0.0,-4.26
312,0.0,0.0,0.0,-4.55
313,0.0,0.0,0.0,-4.55
314,0.0,0.0,0.0,-4.55
315,0.0,0.0,0.0,-4.55
316,0.0,30.32,0.46,-4.29
317,0.0,30.32,0.46,-4.29
318,0.0,30.32,0.46,-4.29
319,0.0,30.32,0.46,-4.29
320,285.03,120.84,2.64,-2.79
321,285.03,120.84,2.64,-2.79
322,285.03,120.84,2.64,-2.79
323,285.03,120.84,2.64,-2.79
324,323.41,183.2,3.93,-0.57
325,323.41,183.2,3.93,-0.57
326,323.41,183.2,3.93,-0.57
327,323.41,183.2,3.93,-0.57
328,239.18,229.7,4.27,1.31
329,239.18,229.7,4.27,1.31
330,239.18,229.7,4.27,1.31
331,239.18,229.7,4.27,1.31
332,219.65,242.37,4.39,2.21
333,219.65,242.37,4.39,2.21
334,219.65,242.37,4.39,2.21
335,219.65,242.37,4.39,2.21
336,633.82,143.99,5.61,2.69
337,633.82,143.99,5.61,2.69
338,633.82,143.99,5.61,2.69
339,633.82,143.99,5.61,2.69
340,615.46,92.49,4.72,2.71
341,615.46,92.49,4.72,2.71
342,615.46,92.49,4.72,2.71
343,615.46,92.49,4.72,2.71
344,452.64,71.54,3.01,2.41
345,452.64,71.54,3.01,2.41
346,452.64,71.54,3.01,2.41
347,452.64,71.54,3.01,2.41
348,0.0,17.83,0.27,1.66
349,0.0,17.83,0.27,1.66
350,0.0,17.83,0.27,1.66
351,0.0,17.83,0.27,1.66
352,0.0,0.0,0.0,0.45
353,0.0,0.0,0.0,0.45
354,0.0,0.0,0.0,0.45
355,0.0,0.0,0.0,0.45
356,0.0,0.0,0.0,-1.38
357,0.0,0.0,0.0,-1.38
358,0.0,0.0,0.0,-1.38
359,0.0,0.0,0.0,-1.38
360,0.0,0.0,0.0,-2.56
361,0.0,0.0,0.0,-2.56
362,0.0,0.0,0.0,-2.56
363,0.0,0.0,0.0,-2.56
364,0.0,0.0,0.0,-2.74
365,0.0,0.0,0.0,-2.74
366,0.0,0.0,0.0,-2.74
367,0.0,0.0,0.0,-2.74
368,0.0,0.0,0.0,-3.34
369,0.0,0.0,0.0,-3.34
370,0.0,0.0,0.0,-3.34
371,0.0,0.0,0.0,-3.34
372,0.0,0.0,0.0,-3.82
373,0.0,0.0,0.0,-3.82
374,0.0,0.0,0.0,-3.82
375,0.0,0.0,0.0,-3.82
376,0.0,0.0,0.0,-4.36
377,0.0,0.0,0.0,-4.36
378,0.0,0.0,0.0,-4.36
379,0.0,0.0,0.0,-4.36
380,0.0,0.0,0.0,-4.59
381,0.0,0.0,0.0,-4.59
382,0.0,0.0,0.0,-4.59
383,0.0,0.0,0.0,-4.59
384,0.0,0.0,0.0,-4.69
385,0.0,0.0,0.0,-4.69
386,0.0,0.0,0.0,-4.69
387,0.0,0.0,0.0,-4.69
388,0.0,0.0,0.0,-4.99
389,0.0,0.0,0.0,-4.99
390,0.0,0.0,0.0,-4.99
391,0.0,0.0,0.0,-4.99
392,0.0,0.0,0.0,-4.82
393,0.0,0.0,0.0,-4.82
394,0.0,0.0,0.0,-4.82
395,0.0,0.0,0.0,-4.82
396,0.0,0.0,0.0,-4.9
397,0.0,0.0,0.0,-4.9
398,0.0,0.0,0.0,-4.9
399,0.0,0.0,0.0,-4.9
400,0.0,0.0,0.0,-5.14
401,0.0,0.0,0.0,-5.14
402,0.0,0.0,0.0,-5.14
403,0.0,0.0,0.0,-5.14
404,0.0,0.0,0.0,-5.24
405,0.0,0.0,0.0,-5.24
406,0.0,0.0,0.0,-5.24
407,0.0,0.0,0.0,-5.24
408,0.0,0.0,0.0,-5.35
409,0.0,0.0,0.0,-5.35
410,0.0,0.0,0.0,-5.35
411,0.0,0.0,0.0,-5.35
412,0.0,24.07,0.36,-4.21
413,0.0,24.07,0.36,-4.21
414,0.0,24.07,0.36,-4.21
415,0.0,24.07,0.36,-4.21
416,383.63,91.85,2.84,-2.73
417,383.63,91.85,2.84,-2.73
418,383.63,91.85,2.84,-2.73
419,383.63,91.85,2.84,-2.73
420,558.22,109.75,4.53,0.09
421,558.22,109.75,4.53,0.09
422,558.22,109.75,4.53,0.09
423,558.22,109.75,4.53,0.09
424,671.1,118.41,5.64,3.03
425,671.1,118.41,5.64,3.03
426,671.1,118.41,5.64,3.03
427,671.1,118.41,5.64,3.03
428,723.88,112.16,6.04,4.96
429,723.88,112.16,6.04,4.96
430,723.88,112.16,6.04,4.96
431,723.88,112.16,6.04,4.96
432,610.56,143.15,5.48,6.04
433,610.56,143.15,5.48,6.04
434,610.56,143.15,5.48,6.04
435,610.56,143.15,5.48,6.04
436,288.93,182.03,3.76,6.52
437,288.93,182.03,3.76,6.52
438,288.93,182.03,3.76,6.52
439,288.93,182.03,3.76,6.52
440,398.75,86.0,2.88,6.43
441,398.75,86.0,2.88,6.43
442,398.75,86.0,2.88,6.43
443,398.75,86.0,2.88,6.43
444,0.0,28.53,0.43,5.25
445,0.0,28.53,0.43,5.25
446,0.0,28.53,0.43,5.25
447,0.0,28.53,0.43,5.25
448,0.0,0.0,0.0,4.83
449,0.0,0.0,0.0,4.83
450,0.0,0.0,0.0,4.83
451,0.0,0.0,0.0,4.83
452,0.0,0.0,0.0,4.34
453,0.0,0.0,0.0,4.34
454,0.0,0.0,0.0,4.34
455,0.0,0.0,0.0,4.34
456,0.0,0.0,0.0,3.08
457,0.0,0.0,0.0,3.08
458,0.0,0.0,0.0,3.08
459,0.0,0.0,0.0,3.08
460,0.0,0.0,0.0,2.21
461,0.0,0.0,0.0,2.21
462,0.0,0.0,0.0,2.21
463,0.0,0.0,0.0,2.21
464,0.0,0.0,0.0,1.42
465,0.0,0.0,0.0,1.42
466,0.0,0.0,0.0,1.42
467,0.0,0.0,0.0,1.42
468,0.0,0.0,0.0,0.23
469,0.0,0.0,0.0,0.23
470,0.0,0.0,0.0,0.23
471,0.0,0.0,0.0,0.23
472,0.0,0.0,0.0,-1.04
473,0.0,0.0,0.0,-1.04
474,0.0,0.0,0.0,-1.04
475,0.0,0.0,0.0,-1.04
476,0.0,0.0,0.0,-1.9
477,0.0,0.0,0.0,-1.9
478,0.0,0.0,0.0,-1.9
479,0.0,0.0,0.0,-1.9
480,0.0,0.0,0.0,-2.52
481,0.0,0.0,0.0,-2.52
482,0.0,0.0,0.0,-2.52
483,0.0,0.0,0.0,-2.52
484,0.0,0.0,0.0,-2.84
485,0.0,0.0,0.0,-2.84
486,0.0,0.0,0.0,-2.84
487,0.0,0.0,0.0,-2.84
488,0.0,0.0,0.0,-2.94
489,0.0,0.0,0.0,-2.94
490,0.0,0.0,0.0,-2.94
491,0.0,0.0,0.0,-2.94
492,0.0,0.0,0.0,-3.13
493,0.0,0.0,0.0,-3.13
494,0.0,0.0,0.0,-3.13
495,0.0,0.0,0.0,-3.13
496,0.0,0.0,0.0,-3.3
497,0.0,0.0,0.0,-3.3
498,0.0,0.0,0.0,-3.3
499,0.0,0.0,0.0,-3.3
500,0.0,0.0,0.0,-3.37
501,0.0,0.0,0.0,-3.37
502,0.0,0.0,0.0,-3.37
503,0.0,0.0,0.0,-3.37
504,0.0,0.0,0.0,-3.45
505,0.0,0.0,0.0,-3.45
506,0.0,0.0,0.0,-3.45
507,0.0,0.0,0.0,-3.45
508,0.0,26.75,0.4,-2.18
509,0.0,26.75,0.4,-2.18
510,0.0,26.75,0.4,-2.18
511,0.0,26.75,0.4,-2.18
512,370.11,95.24,2.81,0.04
513,370.11,95.24,2.81,0.04
514,370.11,95.24,2.81,0.04
515,370.11,95.24,2.81,0.04
516,354.56,171.37,3.98,4.89
517,354.56,171.37,3.98,4.89
518,354.56,171.37,3.98,4.89
519,354.56,171.37,3.98,4.89
520,444.89,196.96,5.01,8.69
521,444.89,196.96,5.01,8.69
522,444.89,196.96,5.01,8.69
523,444.89,196.96,5.01,8.69
524,188.06,236.77,4.19,10.51
525,188.06,236.77,4.19,10.51
526,188.06,236.77,4.19,10.51
527,188.06,236.77,4.19,10.51
528,409.59,205.2,4.9,11.3
529,409.59,205.2,4.9,11.3
530,409.59,205.2,4.9,11.3
531,409.59,205.2,4.9,11.3
532,561.0,109.24,4.57,11.57
533,561.0,109.24,4.57,11.57
534,561.0,109.24,4.57,11.57
535,561.0,109.24,4.57,11.57
536,345.5,102.92,2.79,11.02
537,345.5,102.92,2.79,11.02
538,345.5,102.92,2.79,11.02
539,345.5,102.92,2.79,11.02
540,0.0,20.51,0.31,11.23
541,0.0,20.51,0.31,11.23
542,0.0,20.51,0.31,11.23
543,0.0,20.51,0.31,11.23
544,0.0,0.0,0.0,10.01
545,0.0,0.0,0.0,10.01
546,0.0,0.0,0.0,10.01
547,0.0,0.0,0.0,10.01
548,0.0,0.0,0.0,7.55
549,0.0,0.0,0.0,7.55
550,0.0,0.0,0.0,7.55
551,0.0,0.0,0.0,7.55
552,0.0,0.0,0.0,4.08
553,0.0,0.0,0.0,4.08
554,0.0,0.0,0.0,4.08
555,0.0,0.0,0.0,4.08
556,0.0,0.0,0.0,2.11
557,0.0,0.0,0.0,2.11
558,0.0,0.0,0.0,2.11
559,0.0,0.0,0.0,2.11
560,0.0,0.0,0.0,0.19
561,0.0,0.0,0.0,0.19
562,0.0,0.0,0.0,0.19
563,0.0,0.0,0.0,0.19
564,0.0,0.0,0.0,-0.98
565,0.0,0.0,0.0,-0.98
566,0.0,0.0,0.0,-0.98
567,0.0,0.0,0.0,-0.98
568,0.0,0.0,0.0,-1.57
569,0.0,0.0,0.0,-1.57
570,0.0,0.0,0.0,-1.57
571,0.0,0.0,0.0,-1.57
572,0.0,0.0,0.0,-1.8
573,0.0,0.0,0.0,-1.8
574,0.0,0.0,0.0,-1.8
575,0.0,0.0,0.0,-1.8
576,0.0,0.0,0.0,-1.99
577,0.0,0.0,0.0,-1.99
578,0.0,0.0,0.0,-1.99
579,0.0,0.0,0.0,-1.99
580,0.0,0.0,0.0,-1.92
581,0.0,0.0,0.0,-1.92
582,0.0,0.0,0.0,-1.92
583,0.0,0.0,0.0,-1.92
584,0.0,0.0,0.0,-1.79
585,0.0,0.0,0.0,-1.79
586,0.0,0.0,0.0,-1.79
587,0.0,0.0,0.0,-1.79
588,0.0,0.0,0.0,-1.66
589,0.0,0.0,0.0,-1.66
590,0.0,0.0,0.0,-1.66
591,0.0,0.0,0.0,-1.66
592,0.0,0.0,0.0,-1.76
593,0.0,0.0,0.0,-1.76
594,0.0,0.0,0.0,-1.76
595,0.0,0.0,0.0,-1.76
